Timestamp,Posture
2022_07_25_19_50_24,0
2022_07_25_20_00_23,0
2022_07_25_20_10_24,0
2022_07_25_20_20_24,0
2022_07_25_20_30_24,0
2022_07_25_20_40_23,0
2022_07_25_20_50_23,0
2022_07_25_21_00_24,0
2022_07_25_21_10_24,0
2022_07_25_21_20_23,0
2022_07_25_21_30_24,0
2022_07_25_21_40_24,0
2022_07_25_21_50_24,0
2022_07_25_22_00_24,0
2022_07_25_22_10_24,0
2022_07_25_22_20_24,0
2022_07_25_22_30_24,0
2022_07_25_22_40_24,0
2022_07_25_22_50_24,0
2022_07_25_23_00_24,0
2022_07_25_23_10_23,0
2022_07_25_23_20_24,0
2022_07_25_23_30_24,0
2022_07_25_23_40_24,4
2022_07_25_23_50_24,1
2022_07_26_00_00_23,1
2022_07_26_00_10_23,1
2022_07_26_00_20_24,1
2022_07_26_00_30_24,1
2022_07_26_00_40_24,1
2022_07_26_00_50_24,1
2022_07_26_01_00_24,1
2022_07_26_01_10_24,1
2022_07_26_01_20_24,1
2022_07_26_01_30_24,1
2022_07_26_01_40_24,1
2022_07_26_01_50_24,1
2022_07_26_02_00_24,1
2022_07_26_02_10_24,4
2022_07_26_02_20_23,4
2022_07_26_02_30_24,4
2022_07_26_02_40_23,0
2022_07_26_02_50_24,3
2022_07_26_03_00_23,0
2022_07_26_03_10_24,0
2022_07_26_03_20_23,0
2022_07_26_03_30_23,0
2022_07_26_03_40_24,0
2022_07_26_03_50_24,3
2022_07_26_04_00_24,3
2022_07_26_04_10_24,0
2022_07_26_04_20_24,0
2022_07_26_04_30_24,1
2022_07_26_04_40_23,1
2022_07_26_04_50_24,4
2022_07_26_05_00_24,4
2022_07_26_05_10_24,4
2022_07_26_05_20_24,1
2022_07_26_05_30_24,4
2022_07_26_05_40_23,4
2022_07_26_05_50_24,4
2022_07_26_06_00_24,2
2022_07_26_06_10_24,4
2022_07_26_06_20_23,4
2022_07_26_06_30_24,4
2022_07_26_06_40_23,5
2022_07_26_06_50_23,4
2022_07_26_07_00_24,4
2022_07_26_07_10_24,4
2022_07_26_07_20_24,4
2022_07_26_07_30_24,4
2022_07_26_07_40_23,4
2022_07_26_07_50_23,4
2022_07_26_08_00_24,4
2022_07_26_08_10_24,4
2022_07_26_08_20_24,5
2022_07_26_08_30_24,5
2022_07_26_08_40_24,5
2022_07_26_08_50_24,5
2022_07_26_09_00_24,4
2022_07_26_09_10_24,5
2022_07_26_09_20_24,5
2022_07_26_09_30_24,3
2022_07_26_09_40_24,3
2022_07_26_09_50_23,4
2022_07_26_10_00_23,4
2022_07_26_10_10_24,4
2022_07_26_10_20_24,4
2022_07_26_10_30_24,2
2022_07_26_10_40_23,4
2022_07_26_10_50_24,5
2022_07_26_11_00_24,5
2022_07_26_11_10_24,4
2022_07_26_11_20_24,4
2022_07_26_11_30_23,4
2022_07_26_11_40_24,1
2022_07_26_11_50_24,1
2022_07_26_12_00_24,1
2022_07_26_12_10_24,1
2022_07_26_12_20_24,1
2022_07_26_12_30_24,1
2022_07_26_12_40_24,4
2022_07_26_12_50_24,3
2022_07_26_13_00_24,0
2022_07_26_13_10_24,0
2022_07_26_14_30_24,4
2022_07_26_14_40_24,2
2022_07_26_14_50_24,5
2022_07_26_15_00_24,4
2022_07_26_15_10_24,4
2022_07_26_15_20_24,5
2022_07_26_15_30_24,5
2022_07_26_15_40_24,3
2022_07_26_15_50_24,3
2022_07_26_16_00_24,0
2022_07_26_16_10_24,0
2022_07_26_16_20_24,0
